track_id,name,artists,album,duration_ms,explicit,popularity,preview_url,in_playlist_ids
4wJZ7sDKieHiUClVWnMPHF,Utopia,36,Weaponised Serenity,198382,False,2,https://p.scdn.co/mp3-preview/0891801c28c288db6942bdf1d725272d34eb35a1?cid=2d41cd0ab78d4fc180a3b32d56acd648,3nsll4mwzPFdWHMEbFjjN5
2NfgAQ5VOeaXyTVGzbB6ai,Immensity,36,Weaponised Serenity,161624,False,1,https://p.scdn.co/mp3-preview/0906da0362facf210d5c0535c2e56e75617666be?cid=2d41cd0ab78d4fc180a3b32d56acd648,3nsll4mwzPFdWHMEbFjjN5
3F0xkWGfxYkMQXRMsqYuKI,Blue Shift,I Am Legion,I Am Legion,80826,False,6,https://p.scdn.co/mp3-preview/37823b28e12c9879247c7d5d7b3c6058a9967ff1?cid=2d41cd0ab78d4fc180a3b32d56acd648,62VSxBIu2SBS7RHVXKNamX
1ircZ9MopJTikwqu9cNmyl,Sunken Submarine,I Am Legion,I Am Legion,116533,False,9,https://p.scdn.co/mp3-preview/032b206def3f1a5c2737c39d32508edd0b6a91f2?cid=2d41cd0ab78d4fc180a3b32d56acd648,62VSxBIu2SBS7RHVXKNamX
0EyxRd4mAVG4MS9ya27ol5,cold sweat,atone,live and love your life,291480,False,0,https://p.scdn.co/mp3-preview/8cc2a809e6c2f472bc3bf104f52cf189b6afc6e8?cid=2d41cd0ab78d4fc180a3b32d56acd648,62VSxBIu2SBS7RHVXKNamX
271rYgtrOCjvwPlCVkA3vr,Untitled (2),Dmitry Krylov; dj 8lueTiC,Untitled,269500,False,0,https://p.scdn.co/mp3-preview/57f2f615efd2c9e2cf3a401dd87aaf537928e2d9?cid=2d41cd0ab78d4fc180a3b32d56acd648,62VSxBIu2SBS7RHVXKNamX
7kjEaTAzI55i4yuxlYzE5O,Remember Your Black Day (Bouthayna Traditions),Vatican Shadow,When You Are Crawling,491826,False,1,https://p.scdn.co/mp3-preview/eaaa2762f2a611fb25de4b6864cb653758b86585?cid=2d41cd0ab78d4fc180a3b32d56acd648,62VSxBIu2SBS7RHVXKNamX
6MyX1j0UPibQ0ctswH6U8q,Obsidian,Northlane,Obsidian,236866,False,41,https://p.scdn.co/mp3-preview/2d8e2543655414ba3a80d237378c3316fd41f594?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
43DYsSpTXVQq4UyYdkIx6k,Xen,Northlane,Obsidian,348253,False,37,https://p.scdn.co/mp3-preview/a7e7721672aa5c904ce599c8103d4208dc9d8a71?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
2StHGD41bGpdCbzfIU4O48,Cypher,Northlane,Obsidian,277426,False,39,https://p.scdn.co/mp3-preview/eef980810a51415221602a2c1e4a603ae072397f?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
